,Predictions,y_test
0,DESC:desc,LOC:other
1,ENTY:animal,HUM:ind
2,ENTY:other,ENTY:dismed
3,DESC:def,DESC:def
4,LOC:city,LOC:city
5,DESC:desc,HUM:ind
6,DESC:def,HUM:ind
7,HUM:ind,HUM:ind
8,DESC:def,DESC:def
9,DESC:def,DESC:def
10,HUM:ind,HUM:ind
11,LOC:state,LOC:state
12,ENTY:animal,ENTY:animal
13,NUM:count,NUM:count
14,LOC:other,LOC:other
15,DESC:reason,DESC:reason
16,HUM:gr,HUM:gr
17,LOC:city,LOC:city
18,HUM:ind,HUM:ind
19,LOC:city,LOC:city
20,DESC:def,DESC:def
21,ENTY:substance,ENTY:substance
22,DESC:desc,DESC:desc
23,HUM:ind,HUM:ind
24,HUM:ind,ENTY:event
25,HUM:ind,HUM:ind
26,DESC:def,DESC:def
27,DESC:desc,LOC:other
28,HUM:ind,HUM:ind
29,LOC:mount,LOC:mount
30,NUM:date,NUM:date
31,ENTY:cremat,NUM:date
32,ENTY:cremat,ENTY:cremat
33,HUM:ind,HUM:ind
34,DESC:desc,ENTY:techmeth
35,LOC:other,LOC:other
36,NUM:count,NUM:count
37,LOC:other,LOC:other
38,DESC:def,DESC:def
39,DESC:reason,DESC:reason
40,LOC:other,LOC:other
41,HUM:ind,HUM:ind
42,NUM:count,NUM:count
43,NUM:date,NUM:date
44,DESC:desc,DESC:desc
45,DESC:desc,DESC:desc
46,HUM:gr,HUM:gr
47,ENTY:substance,ENTY:substance
48,NUM:date,NUM:date
49,HUM:ind,HUM:ind
50,LOC:state,LOC:state
51,ENTY:food,ENTY:other
52,HUM:ind,HUM:ind
53,DESC:manner,DESC:manner
54,ENTY:other,LOC:other
55,HUM:ind,HUM:desc
56,ENTY:other,ENTY:other
57,HUM:ind,HUM:ind
58,NUM:count,DESC:manner
59,ENTY:termeq,DESC:desc
60,DESC:manner,DESC:manner
61,DESC:def,NUM:period
62,LOC:country,LOC:country
63,ENTY:food,ENTY:food
64,HUM:ind,HUM:ind
65,NUM:date,NUM:date
66,ENTY:other,ENTY:letter
67,ENTY:termeq,ENTY:termeq
68,NUM:date,NUM:date
69,NUM:count,NUM:count
70,LOC:state,LOC:state
71,LOC:other,LOC:other
72,HUM:ind,ENTY:food
73,NUM:count,NUM:count
74,NUM:period,NUM:period
75,HUM:ind,HUM:ind
76,HUM:ind,HUM:ind
77,NUM:count,NUM:count
78,DESC:reason,DESC:reason
79,DESC:reason,DESC:reason
80,NUM:count,NUM:count
81,NUM:period,NUM:period
82,ENTY:dismed,ENTY:dismed
83,ENTY:sport,ENTY:sport
84,NUM:period,NUM:period
85,DESC:def,LOC:country
86,LOC:other,LOC:other
87,LOC:other,LOC:other
88,NUM:count,NUM:count
89,HUM:gr,ENTY:animal
90,NUM:period,NUM:period
91,ENTY:termeq,ENTY:animal
92,HUM:gr,HUM:title
93,LOC:other,LOC:other
94,NUM:dist,NUM:dist
95,ENTY:cremat,ENTY:cremat
96,ENTY:other,HUM:gr
97,LOC:country,LOC:country
98,ENTY:lang,ENTY:lang
99,HUM:ind,ENTY:event
100,DESC:manner,DESC:manner
